apstar_id,target_id,alt_id,file,apogee_id,telescope,location_id,field,ra,dec,glon,glat,apogee_target1,apogee_target2,apogee2_target1,apogee2_target2,apogee2_target3,apogee2_target4,min_h,max_h,min_jk,max_jk,survey,extratarg,nvisits,snr,starflag,andflag,vhelio_avg,vscatter,verr,rv_teff,rv_logg,rv_feh,rv_alpha,rv_carb,rv_ccfwhm,rv_autofwhm,rv_flag,n_components,gaiaedr3_source_id,gaiaedr3_parallax,gaiaedr3_parallax_error,gaiaedr3_pmra,gaiaedr3_pmra_error,gaiaedr3_pmdec,gaiaedr3_pmdec_error,gaiaedr3_phot_g_mean_mag,gaiaedr3_phot_bp_mean_mag,gaiaedr3_phot_rp_mean_mag,gaiaedr3_dr2_radial_velocity,gaiaedr3_dr2_radial_velocity_error,gaiaedr3_r_med_geo,gaiaedr3_r_lo_geo,gaiaedr3_r_hi_geo,gaiaedr3_r_med_photogeo,gaiaedr3_r_lo_photogeo,gaiaedr3_r_hi_photogeo,htmID,apogee_id1,target_id1,apstar_id1,aspcap_id,teff,teff_err,teff_flag,teff_spec,logg,logg_err,logg_flag,logg_spec,vmicro,vmacro,vsini,m_h,m_h_err,m_h_flag,alpha_m,alpha_m_err,alpha_m_flag,aspcap_chi2,aspcap_grid,aspcapflag,frac_badpix,frac_lowsnr,frac_sigsky,fparam_teff,fparam_logg,fparam_logvmicro,fparam_m_h,fparam_c_m,fparam_n_m,fparam_alpha_m,param_c_m,param_c_m_flag,param_n_m,param_n_m_flag,c_fe,c_fe_err,c_fe_flag,ci_fe,ci_fe_err,ci_fe_flag,n_fe,n_fe_err,n_fe_flag,o_fe,o_fe_err,o_fe_flag,na_fe,na_fe_err,na_fe_flag,mg_fe,mg_fe_err,mg_fe_flag,al_fe,al_fe_err,al_fe_flag,si_fe,si_fe_err,si_fe_flag,p_fe,p_fe_err,p_fe_flag,s_fe,s_fe_err,s_fe_flag,k_fe,k_fe_err,k_fe_flag,ca_fe,ca_fe_err,ca_fe_flag,ti_fe,ti_fe_err,ti_fe_flag,tiii_fe,tiii_fe_err,tiii_fe_flag,v_fe,v_fe_err,v_fe_flag,cr_fe,cr_fe_err,cr_fe_flag,mn_fe,mn_fe_err,mn_fe_flag,fe_h,fe_h_err,fe_h_flag,co_fe,co_fe_err,co_fe_flag,ni_fe,ni_fe_err,ni_fe_flag,cu_fe,cu_fe_err,cu_fe_flag,ce_fe,ce_fe_err,ce_fe_flag,felem_c_m,felem_c_m_err,felem_ci_m,felem_ci_m_err,felem_n_m,felem_n_m_err,felem_o_m,felem_o_m_err,felem_na_h,felem_na_h_err,felem_mg_m,felem_mg_m_err,felem_al_h,felem_al_h_err,felem_si_m,felem_si_m_err,felem_p_m,felem_p_m_err,felem_s_m,felem_s_m_err,felem_k_h,felem_k_h_err,felem_ca_m,felem_ca_m_err,felem_ti_m,felem_ti_m_err,felem_tiii_m,felem_tiii_m_err,felem_v_h,felem_v_h_err,felem_cr_h,felem_cr_h_err,felem_mn_h,felem_mn_h_err,felem_fe_h,felem_fe_h_err,felem_co_h,felem_co_h_err,felem_ni_h,felem_ni_h_err,felem_cu_h,felem_cu_h_err,felem_ge_h,felem_ge_h_err,felem_rb_h,felem_rb_h_err,felem_ce_h,felem_ce_h_err,felem_nd_h,felem_nd_h_err,felem_yb_h,felem_yb_h_err
apogee.apo25m.stars.000+16.2M16460820-2033368,apo25m.000+16.2M16460820-2033368,none,apStar-dr17-2M16460820-2033368.fits,2M16460820-2033368,apo25m,4372,000+16,251.534176,-20.560223,359.176930421966,15.8483772225211,-2147483584,-2147483136,0,0,0,0,-9999.99,9999.99,-9999.99,9999.99,apogee,5,3,149.6907,0,0,-67.85311,0.08715172,0.05862873,6237.907,4.4651,-0.5443406,0,0,23.08765,18.373,0,1,4130381473460054272,3.002343,0.0128854,-1.125181,0.0166002,-2.905295,0.010606,12.2076,12.6478,11.5893,-67.5562,1.00739,331.0299,329.783,332.1764,330.6245,328.9976,331.9593,11756766723029,2M16460820-2033368,apo25m.000+16.2M16460820-2033368,apogee.apo25m.stars.000+16.2M16460820-2033368,apogee.apo25m.synspec.000+16.2M16460820-2033368,6111.886,45.92797,0,6232.6,4.246624,0.02997882,0,4.2451,1.111307,0,7.282156,-0.14852,0.00682416,0,0.0050997,0.01174439,0,2.317235,Fd_c,0,0.002262444,0.007852009,0.004791057,6232.6,4.2451,0.045834,-0.14852,0.037584,0.10744,0.0014544,0.037584,0,0.10744,32,0.04909501,0.0663858,0,0.03995702,0.04696322,0,0.31888,0.08584969,32,0.05698591,0.149348,0,-0.2268664,0.2374476,0,-0.02942748,0.01567157,0,0.06393501,0.01958895,0,0.09893501,0.01768318,0,-9999,0.1799102,2,-0.02447149,0.05996948,0,0.0264429,0.05555721,0,-0.005525991,0.01789835,0,-0.612741,0.1165411,256,-9999,-9999,65,0.08583155,0.2292334,0,0.0403163,0.09970292,0,-0.002147496,0.01795862,0,-0.13986,0.007456574,0,-9999,-9999,64,-0.03602,0.01636457,0,-9999,0.1050847,2,-9999,-9999,2,0.057755,0.01138508,0.048617,0.01147301,0.32754,0.08557803,0.060953,0.004245115,-0.44519,0.002922157,-0.088056,0.004584976,-0.088351,0.002384827,0.034452,0.004306042,-1.1478,0.004017089,0.011256,0.004359817,-0.20824,0.002550274,0.072418,0.004219241,-0.55715,0.005839691,-0.7478,0.006232977,-0.019159,0.002299282,0.062998,0.002207397,-0.29469,0.002675762,-0.13986,0.002454425,0.047357,0.002224635,-0.17823,0.002508107,-0.29818,0.002681156,-9999,-9999,-0.27083,0.002639621,-0.14935,0.00246761,-9999,-9999,-0.14935,0.00246761
apogee.apo25m.stars.000+16.2M16471745-1900463,apo25m.000+16.2M16471745-1900463,none,apStar-dr17-2M16471745-1900463.fits,2M16471745-1900463,apo25m,4372,000+16,251.82273,-19.012871,0.627021134470169,16.5758360522603,-2147483584,-2147483136,0,0,0,0,-9999.99,9999.99,-9999.99,9999.99,apogee,5,3,126.2355,0,0,14.57514,0.2567847,0.06835704,6402.983,4.401422,-0.4269996,0,0,28.74059,17.48067,0,1,4130815054696163712,1.207118,0.0152227,-0.4748067,0.0188896,-4.390153,0.0124967,12.6981,13.2491,11.9851,13.6526,1.99961,816.4882,806.4251,826.3412,814.9142,805.6824,824.9971,11756564648535,2M16471745-1900463,apo25m.000+16.2M16471745-1900463,apogee.apo25m.stars.000+16.2M16471745-1900463,apogee.apo25m.synspec.000+16.2M16471745-1900463,6047.586,45.90144,0,6174.6,3.631215,0.03064466,0,3.4978,2.25481,0,14.71973,0.042057,0.007208381,0,-0.0624757,0.0123425,0,2.486108,Fd_a,0,0.003460208,0.01277615,0.01024754,6174.6,3.4978,0.35311,0.042057,0.012197,0.072945,-0.066121,0.012197,0,0.072945,32,-0.0114583,0.06368711,0,0.03939699,0.05167555,0,0.112073,0.1290657,32,0.1144159,0.1542645,0,-0.9005004,0.2145505,0,-0.1113685,0.01750482,0,0.137302,0.02550136,0,0.009298995,0.02127585,0,-9999,0.1974309,2,-0.1145575,0.06762373,0,0.0410664,0.0593001,0,-0.0958509,0.01999248,0,-0.0594039,0.1178738,0,-9999,-9999,64,0.01608655,0.2563842,0,-0.1068357,0.1005549,0,-0.004912488,0.01777417,0,0.060694,0.007914416,0,-9999,-9999,64,-0.033138,0.01817499,0,-9999,0.07874493,2,-9999,-9999,2,0.0071787,0.01306254,0.058034,0.01259841,0.13071,0.1288643,0.12836,0.005084388,-0.91827,0.004821825,-0.16002,0.006008411,0.18557,0.002834449,-0.045207,0.00563906,0.15956,0.002868955,-0.068853,0.005717342,0.0069375,0.003088738,-0.0079299,0.005515796,0.0061641,0.005469461,-0.038257,0.005616048,0.11165,0.002935234,0.1164,0.002928549,-0.096901,0.003252076,0.060694,0.003008937,0.079967,0.002980721,0.025206,0.003061584,0.39395,0.002585827,-9999,-9999,0.0071461,0.00308843,0.0581,0.003012756,-9999,-9999,0.0581,0.003012756
apogee.apo25m.stars.000+16.2M16493809-1916446,apo25m.000+16.2M16493809-1916446,none,apStar-dr17-2M16493809-1916446.fits,2M16493809-1916446,apo25m,4372,000+16,252.408723,-19.279081,0.754469243452277,15.9738816505846,-2147481584,0,0,0,0,0,7,11,0.5,9999.99,apogee,0,3,114.7429,0,0,-87.29075,0.02945035,0.04011319,5152.726,3.563408,-0.3011816,0,0,20.66845,17.17618,0,1,4130617009469929728,0.7689689,0.0180984,-9.034958,0.0230585,3.808597,0.0173694,13.3722,14.0148,12.5929,-9999,-9999,1233.331,1207.165,1262.34,1230.512,1202.323,1267.232,11813381127220,2M16493809-1916446,apo25m.000+16.2M16493809-1916446,apogee.apo25m.stars.000+16.2M16493809-1916446,apogee.apo25m.synspec.000+16.2M16493809-1916446,4942.441,13.66253,0,4891.9,3.156706,0.02985782,33554432,3.2102,0.9942037,0,3.288138,-0.13062,0.008479984,0,0.061136,0.00810736,0,2.293348,GKd_b,0,0,0.009049774,0.008916689,4891.9,3.2102,-0.0025246,-0.13062,-0.063683,0.19513,0.034461,-0.063683,0,0.19513,0,-0.065615,0.02054035,0,-0.15519,0.03573536,0,0.20686,0.0239444,0,0.10345,0.03026222,0,0.05481701,0.09580473,0,0.088353,0.01532096,0,0.040535,0.02917133,0,0.0288916,0.01950125,0,-9999,0.1752294,2,-0.023093,0.05306982,0,0.01100899,0.04911199,0,0.028151,0.02020352,0,0.1299232,0.03148758,0,-0.132766,0.1171589,0,-0.330498,0.1280605,0,0.08114,0.05896248,0,0.01244199,0.02065452,0,-0.13075,0.009966743,0,0.04538999,0.1047253,0,0.0445625,0.01782512,0,-9999,0.007459913,258,-0.53093,0.12354,2,-0.065745,0.003690664,-0.15532,0.004617142,0.20673,0.00463724,0.046657,0.002887386,-0.095335,0.002250733,0.0247,0.002855854,0.051104,0.002203906,0.034161,0.002870017,-0.37092,0.002360424,-0.047005,0.002731666,-0.1895,0.002280789,0.046026,0.002886538,0.13022,0.002970892,-0.091145,0.002660808,-0.50621,0.00243255,-0.052024,0.002236448,-0.23521,0.002295517,-0.13075,0.00226199,-0.13343,0.002262852,-0.12958,0.002261614,0.82561,0.001962753,-9999,-9999,-0.60602,0.002489578,0.037947,0.002208076,-9999,-9999,0.037947,0.002208076
apogee.apo25m.stars.000+75.2M13453912+1837428,apo25m.000+75.2M13453912+1837428,none,apStar-dr17-2M13453912+1837428.fits,2M13453912+1837428,apo25m,4481,000+75,206.413031,18.628576,1.49114576153323,74.9126652953648,-2147481440,0,0,0,0,0,7,12.2,0.5,9999.99,apogee,0,3,158.085,0,0,-43.61388,0.03667171,0.03105009,5146.372,3.742276,-0.1074895,0,0,21.38332,17.65924,0,1,1248131484926945024,0.7941547,0.0179814,0.1256074,0.0177885,5.081726,0.0121728,13.6108,14.1002,12.9653,-9999,-9999,1203.908,1179.89,1225.545,1207.049,1185.211,1236.608,14930479288241,2M13453912+1837428,apo25m.000+75.2M13453912+1837428,apogee.apo25m.stars.000+75.2M13453912+1837428,apogee.apo25m.synspec.000+75.2M13453912+1837428,4900.468,10.35526,0,4855.3,3.350827,0.02415625,33554432,3.4568,0.9269878,0,3.184051,0.0089884,0.006639786,0,0.0348894,0.006045663,0,4.264126,GKd_b,0,0,0.0440511,0.04391802,4855.3,3.4568,-0.032926,0.0089884,0.026392,0.023194,0.0082144,0.026392,0,0.023194,0,0.0193994,0.0143753,0,-0.0410416,0.02581351,0,0.0195484,0.01764691,0,0.0667344,0.02117176,0,0.116358,0.06539731,0,0.0721114,0.01178577,0,0.040967,0.02188852,0,-0.021412,0.01472591,0,-9999,0.1391568,2,-0.0157346,0.03644783,0,-0.01115001,0.03825367,0,0.0731464,0.01449063,0,0.09824757,0.02303909,0,-0.2896966,0.08930242,0,-0.342992,0.09010301,0,0.13051,0.04024945,0,-0.008532007,0.01508474,0,0.013304,0.007906605,0,-0.01021,0.0665438,0,0.0410115,0.01257809,0,-9999,-9999,259,-0.132145,0.08997028,2,0.023715,0.001958009,-0.036726,0.002381302,0.023864,0.003099613,0.014387,0.001694668,0.11026,0.001523483,0.012904,0.001691892,0.19559,0.001508907,-0.011697,0.001644871,-0.30556,0.001609348,-0.035201,0.001600062,-0.067605,0.001556278,0.095467,0.001817966,0.10299,0.001826664,-0.24363,0.001498432,-0.37465,0.001629202,0.1414,0.001516773,-0.11213,0.001565024,0.013304,0.001545704,-0.044976,0.001552997,0.010923,0.00154606,0.99924,0.001342982,-9999,-9999,-0.063181,0.001555603,0.23663,0.001505291,-9999,-9999,0.23663,0.001505291
apogee.apo25m.stars.000+75.2M13475276+1921501,apo25m.000+75.2M13475276+1921501,none,apStar-dr17-2M13475276+1921501.fits,2M13475276+1921501,apo25m,4481,000+75,206.96984,19.36392,4.96525991343792,74.9056706237402,-1610610528,0,0,0,0,0,7,12.2,0.5,9999.99,apogee,0,3,87.56995,0,0,-13.13767,0.3534869,0.06418799,4933.94,4.102953,-0.5242012,0,0,23.30889,19.2753,0,1,1248277582534502144,0.5287127,0.0196622,-14.55445,0.0199347,2.083312,0.0155913,14.2243,14.7186,13.5627,-9999,-9999,1772.626,1713.853,1833.564,1751.336,1695.812,1804.287,14931252371130,2M13475276+1921501,apo25m.000+75.2M13475276+1921501,apogee.apo25m.stars.000+75.2M13475276+1921501,apogee.apo25m.synspec.000+75.2M13475276+1921501,4678.563,13.96332,0,4561.1,3.406539,0.03765404,33554432,3.2507,0.9953431,0,6.6819,-0.46771,0.01154285,0,0.250575,0.01105699,0,2.001889,GKd_b,0,0.0001330849,0.05988821,0.05988821,4561.1,3.2507,-0.0020272,-0.46771,-0.034421,0.14985,0.2239,-0.034421,0,0.14985,32,-0.02176899,0.02617515,0,0.12303,0.04715385,0,0.17273,0.02886785,0,0.308563,0.03038001,0,0.325372,0.1303004,0,0.313113,0.02062599,0,0.264157,0.03811303,0,0.1749606,0.0253211,0,-9999,0.2052329,2,0.545802,0.08487606,0,0.427289,0.06387268,0,0.223945,0.02885404,0,0.2658232,0.03795834,0,0.5365191,0.1277021,0,-0.01183802,0.1446242,0,-0.262066,0.08094363,0,-0.210178,0.02933027,0,-0.47003,0.0134393,0,-0.253,0.1246073,0,0.08802253,0.02575425,0,-9999,0.02115479,2,0.335567,0.1142278,2,-0.024089,0.007905125,0.12071,0.005897203,0.17041,0.01338805,0.24958,0.004468445,-0.16406,0.003107684,0.24727,0.004466878,-0.064554,0.0030424,0.17804,0.004394997,-0.51089,0.003406318,0.5197,0.004491881,-0.1125,0.003073207,0.23963,0.004461278,0.26393,0.004477946,0.57595,0.00444882,-0.52683,0.003425055,-0.73451,0.003699595,-0.79711,0.003791438,-0.47003,0.003363332,-0.7711,0.003752199,-0.4254,0.003323251,0.57115,0.002557597,-9999,-9999,-0.078803,0.00305136,-0.32213,0.003230944,-9999,-9999,-0.32213,0.003230944
apogee.apo25m.stars.000+75.2M13494173+1903008,apo25m.000+75.2M13494173+1903008,none,apStar-dr17-2M13494173+1903008.fits,2M13494173+1903008,apo25m,4481,000+75,207.423898,19.050249,4.87786379832912,74.3749096390318,-2147481584,0,0,0,0,0,7,12.2,0.5,9999.99,apogee,0,3,125.9876,0,0,-40.39188,0.02156414,0.05249456,5652.061,4.283375,-0.4320643,0,0,22.27244,18.97876,0,1,1248207797905884544,1.138896,0.0180685,-10.37532,0.0160638,4.936238,0.013344,13.0527,13.4758,12.4634,-9999,-9999,855.4185,842.0243,866.0898,851.0082,840.0943,863.5361,14930768726794,2M13494173+1903008,apo25m.000+75.2M13494173+1903008,apogee.apo25m.stars.000+75.2M13494173+1903008,apogee.apo25m.synspec.000+75.2M13494173+1903008,5192.96,17.47369,32,5160.8,3.908926,0.03240176,33554432,3.708,0.6170211,0,3.029703,-0.35527,0.008504386,0,0.121692,0.009513081,0,2.035495,GKd_b,0,0.003460208,0.03859462,0.03486824,5160.8,3.708,-0.2097,-0.35527,-0.048857,0.033263,0.095017,-0.048857,0,0.033263,32,-0.04846701,0.02801698,0,0.02391002,0.04179641,0,0.04873899,0.03122105,0,0.205683,0.04586454,0,-1.192578,0.1304756,0,0.176673,0.01674835,0,0.052641,0.02785926,0,0.03871161,0.02094824,0,-9999,0.2112192,2,0.0169827,0.05898553,0,0.217339,0.05343562,0,0.100455,0.02288838,0,0.1411832,0.03729625,0,0.123919,0.1429125,0,-0.138848,0.1738921,0,-0.06812602,0.07828931,0,-0.044458,0.02325063,0,-0.34702,0.009481476,0,-0.31394,0.1426127,0,0.04497251,0.01954529,0,-9999,0.01750888,2,-0.42107,0.1549068,2,-0.040217,0.01162927,0.03216,0.01001049,0.056989,0.01388668,0.15727,0.003969005,-1.559,0.004385316,0.1214,0.004006994,-0.15306,0.002233719,0.052361,0.004103535,-0.9284,0.003102886,0.0014507,0.004179474,-0.19944,0.002263471,0.12671,0.004001125,0.14986,0.003976054,0.17392,0.003952721,-0.53083,0.002556247,-0.41756,0.002444463,-0.50838,0.002531738,-0.34702,0.002379664,-0.70903,0.002778057,-0.34544,0.002378235,0.3947,0.002027462,-9999,-9999,-0.71243,0.002782499,-0.087123,0.002192487,-9999,-9999,-0.087123,0.002192487
apogee.apo25m.stars.K2_C2_000+16.2M16493809-1916446,apo25m.K2_C2_000+16.2M16493809-1916446,none,apStar-dr17-2M16493809-1916446.fits,2M16493809-1916446,apo25m,5784,K2_C2_000+16,252.408723,-19.279081,0.754469243452277,15.9738816505846,0,0,0,-2147352576,-2147483584,0,-9999.99,9999.99,-9999.99,9999.99,apogee2-manga,17,1,89.3678,0,0,-87.02347,0,0.03467073,5130.57,3.474354,-0.3205768,0,0,19.81125,16.71074,0,1,4130617009469929728,0.7689689,0.0180984,-9.034958,0.0230585,3.808597,0.0173694,13.3722,14.0148,12.5929,-9999,-9999,1233.331,1207.165,1262.34,1230.512,1202.323,1267.232,11813381127220,2M16493809-1916446,apo25m.000+16.2M16493809-1916446,apogee.apo25m.stars.000+16.2M16493809-1916446,apogee.apo25m.synspec.000+16.2M16493809-1916446,4942.441,13.66253,0,4891.9,3.156706,0.02985782,33554432,3.2102,0.9942037,0,3.288138,-0.13062,0.008479984,0,0.061136,0.00810736,0,2.293348,GKd_b,0,0,0.009049774,0.008916689,4891.9,3.2102,-0.0025246,-0.13062,-0.063683,0.19513,0.034461,-0.063683,0,0.19513,0,-0.065615,0.02054035,0,-0.15519,0.03573536,0,0.20686,0.0239444,0,0.10345,0.03026222,0,0.05481701,0.09580473,0,0.088353,0.01532096,0,0.040535,0.02917133,0,0.0288916,0.01950125,0,-9999,0.1752294,2,-0.023093,0.05306982,0,0.01100899,0.04911199,0,0.028151,0.02020352,0,0.1299232,0.03148758,0,-0.132766,0.1171589,0,-0.330498,0.1280605,0,0.08114,0.05896248,0,0.01244199,0.02065452,0,-0.13075,0.009966743,0,0.04538999,0.1047253,0,0.0445625,0.01782512,0,-9999,0.007459913,258,-0.53093,0.12354,2,-0.065745,0.003690664,-0.15532,0.004617142,0.20673,0.00463724,0.046657,0.002887386,-0.095335,0.002250733,0.0247,0.002855854,0.051104,0.002203906,0.034161,0.002870017,-0.37092,0.002360424,-0.047005,0.002731666,-0.1895,0.002280789,0.046026,0.002886538,0.13022,0.002970892,-0.091145,0.002660808,-0.50621,0.00243255,-0.052024,0.002236448,-0.23521,0.002295517,-0.13075,0.00226199,-0.13343,0.002262852,-0.12958,0.002261614,0.82561,0.001962753,-9999,-9999,-0.60602,0.002489578,0.037947,0.002208076,-9999,-9999,0.037947,0.002208076
apogee.apo25m.stars.000+16.2M16504879-1921073,apo25m.000+16.2M16504879-1921073,none,apStar-dr17-2M16504879-1921073.fits,2M16504879-1921073,apo25m,4372,000+16,252.703295,-19.352028,0.867777918674193,15.7079533842095,-2147483584,-2147483136,0,0,0,0,-9999.99,9999.99,-9999.99,9999.99,apogee,5,3,158.3611,0,0,-62.15108,0.1581748,0.08069824,6331.483,4.468336,-0.6136684,0,0,39.37616,18.51848,0,1,4130570722601305728,1.455404,0.0181592,-3.77165,0.0194464,-2.104657,0.0141533,11.8728,12.2326,11.3343,-62.2378,0.807924,669.7218,662.5421,678.6043,669.3334,661.2017,677.0319,11814308837427,2M16504879-1921073,apo25m.000+16.2M16504879-1921073,apogee.apo25m.stars.000+16.2M16504879-1921073,apogee.apo25m.synspec.000+16.2M16504879-1921073,6100.5,37.93543,0,6235,3.726525,0.02331506,0,3.6018,1.950608,0,20.60155,0.038069,0.005334042,32,-0.0041863,0.009021457,0,1.980934,Fd_b,0,0,0.004924142,0.004524887,6235,3.6018,0.29017,0.038069,-0.030461,0.085099,-0.0078316,-0.030461,0,0.085099,32,-0.068397,0.0483508,0,-0.017255,0.03621818,0,0.337481,0.08688125,32,0.09844489,0.1090567,0,0.2904856,0.1616565,0,-0.0551305,0.01292649,0,0.121668,0.01568395,0,0.098987,0.01430319,0,-9999,0.1340633,2,0.03720849,0.04659519,0,0.0675799,0.04441553,0,-0.057785,0.01316505,0,-0.39056,0.09012805,0,-9999,-9999,321,0.1705825,0.166029,0,-0.8948997,0.06998865,0,-0.07831548,0.01234295,0,0.038508,0.005630023,0,-9999,-9999,64,-0.055243,0.01171985,0,-9999,0.06598085,2,-9999,-9999,2,-0.067958,0.01230813,-0.016816,0.01182286,0.33792,0.08671736,0.094191,0.004443535,0.25053,0.002458719,-0.12198,0.005108816,0.14775,0.002576509,0.026283,0.004642952,0.0034742,0.002761702,0.064715,0.004528907,0.011265,0.002751527,0.011938,0.00468647,-0.34319,0.005820223,0.99997,0.002463473,0.24396,0.002465887,-0.69385,0.00383458,-0.19249,0.003041907,0.038508,0.002715677,-0.57831,0.003648287,-0.019085,0.00279129,-0.004353,0.002771931,-9999,-9999,0.33725,0.002365988,0.46672,0.002241718,-9999,-9999,0.46672,0.002241718
apogee.apo25m.stars.000+30.2M15565833-1058363,apo25m.000+30.2M15565833-1058363,none,apStar-dr17-2M15565833-1058363.fits,2M15565833-1058363,apo25m,4520,000+30,239.243078,-10.976774,358.994709540282,31.0564109661258,-2147481440,0,0,0,0,0,7,12.2,0.5,9999.99,apogee,0,4,118.9826,0,0,-6.29773,0.06899732,0.04041379,5124.919,3.689882,-0.1319883,0,0,20.87227,17.51848,0,1,4346096686936575488,0.5913096,0.0184143,-6.074578,0.0206411,-2.285555,0.0131148,13.9015,14.5034,13.1588,-9999,-9999,1582.438,1542.678,1640.218,1576.254,1529.179,1630.001,11679299471274,2M15565833-1058363,apo25m.000+30.2M15565833-1058363,apogee.apo25m.stars.000+30.2M15565833-1058363,apogee.apo25m.synspec.000+30.2M15565833-1058363,4904.247,12.36267,0,4861.9,3.301136,0.02703358,33554432,3.3821,0.736614,0,3.567056,0.036295,0.00774841,0,0.068843,0.006962943,0,3.048105,GKd_b,0,0.0002661698,0.009049774,0.008517434,4861.9,3.3821,-0.13276,0.036295,-0.01479,0.12458,0.042168,-0.01479,0,0.12458,0,-0.011174,0.01697725,0,-0.092796,0.03087212,0,0.122144,0.02038481,0,0.0511734,0.02531483,0,0.034093,0.07735354,0,0.102078,0.01359771,0,0.04551999,0.02726153,0,0.0282966,0.01750682,0,-9999,0.1548955,2,-0.037905,0.04459188,0,0.114774,0.04397449,0,0.061382,0.0173688,0,0.1908872,0.02765349,0,0.019747,0.1043301,0,0.128541,0.1080257,0,0.094603,0.04795082,0,-0.02537901,0.01781759,0,0.033041,0.009313156,0,0.152929,0.08643362,0,0.0264255,0.01541646,0,-9999,-9999,259,-0.049407,0.1123331,2,-0.014428,0.002773085,-0.09605,0.003655407,0.11889,0.00407075,-0.0087436,0.002172602,0.047732,0.002093585,0.035301,0.002270529,0.21988,0.002049585,0.030442,0.002260398,0.18813,0.002056137,-0.064941,0.002047437,0.078056,0.002086169,0.076133,0.00234412,0.18806,0.002472974,0.058244,0.002314692,0.11662,0.002075428,0.12523,0.002072921,-0.10924,0.002127487,0.033041,0.002096879,0.1379,0.002069251,0.016074,0.002100381,0.99945,0.001835211,-9999,-9999,0.039294,0.002095495,0.27058,0.002039167,-9999,-9999,0.27058,0.002039167
apogee.apo25m.stars.000+30.2M15571652-1028065,apo25m.000+30.2M15571652-1028065,none,apStar-dr17-2M15571652-1028065.fits,2M15571652-1028065,apo25m,4520,000+30,239.31886,-10.468475,359.499790932631,31.3343417382273,-2147481440,0,0,0,0,0,7,12.2,0.5,9999.99,apogee,0,4,137.2781,0,0,15.48087,0.09320237,0.03842409,5046.242,3.530941,-0.3220865,0,0,20.62347,17.33343,0,1,4346408810799655296,0.6626558,0.016355,-3.720603,0.0184506,-5.678725,0.0117811,13.7142,14.3441,12.9522,-9999,-9999,1420.533,1388.094,1449.411,1419.571,1388.158,1458.546,11680072402922,2M15571652-1028065,apo25m.000+30.2M15571652-1028065,apogee.apo25m.stars.000+30.2M15571652-1028065,apogee.apo25m.synspec.000+30.2M15571652-1028065,4833.133,11.40783,0,4762.9,3.029339,0.02805771,33554432,3.1033,1.05959,0,3.369768,-0.17339,0.007952587,0,0.146765,0.007436934,0,2.970435,GKd_b,0,0,0.00731967,0.00731967,4762.9,3.1033,0.025138,-0.17339,0.054273,0.076686,0.12009,0.054273,0,0.076686,0,0.046003,0.01771037,0,0.032777,0.03160833,0,0.07376599,0.02094604,0,0.239743,0.02403828,0,0.06187199,0.08328126,0,0.205183,0.01422086,0,0.190541,0.02599716,0,0.1148106,0.01759041,0,-9999,0.1593604,2,0.216972,0.04839444,0,0.126129,0.04540922,0,0.115655,0.0182433,0,0.1372632,0.02720064,0,0.217859,0.1007027,0,0.174112,0.1061139,0,0.005704001,0.0513267,0,-0.041118,0.01887764,0,-0.17229,0.009362442,0,-0.14001,0.08210532,0,0.0879725,0.01595173,0,-9999,-9999,259,-0.16915,0.09673715,2,0.047103,0.002771913,0.033877,0.002845207,0.074866,0.003998625,0.18418,0.002233629,-0.12982,0.001895152,0.14276,0.002173154,0.15957,0.001811684,0.12131,0.002141191,-0.39447,0.001981515,0.19429,0.002248577,-0.11592,0.00189119,0.13476,0.002161273,0.13879,0.002167325,0.26071,0.002343096,-0.04314,0.001867592,-0.169,0.001905177,-0.33031,0.001959694,-0.17229,0.001906017,-0.36037,0.001970178,-0.12771,0.001894571,0.99877,0.001532514,-9999,-9999,-0.28578,0.001942962,0.127,0.001819753,-9999,-9999,0.127,0.001819753
